content,score
Mauvaise qualitée et zéro professionnalisme,0
سهولة المرتجع تعطي ثقة في التعامل. و لكن خدمة العملاء بطيئة في الرد. و اتمنى توفير تنوع أكثر في معروضات كل فئة على حده. و تطوير طرق التصفية في التطبيق. بالتوفيق :,1
meilleur application du monde,2
Est ce que ses gratuit,1
Arnaque pure ,0
Jai jamais reçu de course depuis le lancement de mon compte et jai même essayé de me connecter avec un autre appareil et plusieurs endroit,0
bien super,2
La charge des ècouteur Bluetooth est mal ,1
اباز,0
لما لم ينزل التطبيق علي جهازي مع انه كان عليه من قبل,0
الاذان,1
Je me régale avec cette application,2
les prix sont trop cher,0
ces la meilleur application il tenvoie sa en 2 jour et ses de très bonne qualité,2
Excellente application de haute qualité. Je tire le chapeau au service de Jumia à son plus grand respect,2
JULIA cest tout simplement waaouuuhh,2
Je suis satisfais,1
Jumia est devenu autoritaire au fil des années.,1
G pas de compte je fais comment ,1
Nnnn,1
Jaime bien sa marche très bien merci,2
لم أستطع استخدامه لحد الان لاني لا اعرف كيفية,2
satisfaite ,2
Facile à utiliser jaime,2
Zéro je vous conseille pas d installé cette application ou travaille si déjà fais mais 0,0
اول مرة,2
téléphone portable,1
"Pas mal, facile à utiliser.... mais ça se bloque parfois",2
صعبه في الطلبات مراحل كثيرة وممله,1
je viens de débité je ne peu par fait de commentaires à linstant,2
vraimentmab9atch lmissda9ya kolchi kdob 3yina ntssenaw f 00h o f lekher tblokat l app o après 20min stock épuisé 3lamn katdahko,0
Cool appel mais on sy perd parfois,1
bien pour le moment je suis satisfaite.,1
Cest une application qui ne fonctionne jamais.. Je narrive jamais à me connecter toujours des messages derreur,0
"Simple, pratique et sans effort",2
المؤسف بالنسبة لي الاستعمار اللغوي نحن في بلد عربي و لغتنا عربية و فرنسا دولة كانت تحتل تونس و ما زالت المؤسسات تفرض علينا اللغة الفرنسية شئنا أم أبينا. انتم تساهمون في امتداد الاحتلال اللغوي الحضاري و الثقافي . إذا كنتم تخاطبون شعبا عربيا لماذا تفرضون عليه لغة أجنبية إذا ,0
Tr parfait,2
"À éviter, faire des achats directement dans les magasins,jai fais 2 achats vraiment c perte de largent",0
اشتريت لاب توب غير مطابق لإعلان البائع. وعند ارجاعه رفضت جوميا طلب الارجاع. و ضاعت آلاف الجنيهات على الأرض. نصيحه لا تشتري منهم اشياء غاليه ابدا,1
Application assez bonne mais le service de livraison est trop cher parfois ca revient plus cher que le produit acheté ,1
Yaaaaa,2
 Merci BNA,2
تم جوميا ,2
Belle app,2
"Depuis quelques temps jai rencontré beaucoup de problème avec lapplication, impossible de se connecter et accéder à mon compte.",2
شكرا لشركه جوميا هما جابلي كل العابي,2
"Application super pratique, très simple.. Jaime beaucoup",2
JAMIIIL,2
ك ووووويس,2
مششم,0
Super cool ,2
Bien,0
Merci davance a jumia,2
تحت الاختبار لسه,1
Je le conseil à tout ceux qui aime le showping. Avec des articles de qualités,2
nmm,1
53 : 6 ans,0
c est null comment votre stock peux etre  epuise dans 15 min,0
Bonne application mais compliqué avec affaire de creation de compte quand tu veut passer une commande,1
Nuuuuullll marche pas avec android 5.1.1,0
Très bon service client,2
APK utile.,2
اشتريت منتج و مش شغال و عايز ارجعه و مفيش مندوب جالى لغاية دلوقتى ايه الحل,1
Cest vraiment une arnaque ca putin les produits ne sont au top et on ne peux pas annuler une demande quon a payais par orange money,0
Trop top pour le shopping,2
Non satisfait,1
ممتازه ولكن بانتظار وصول المنتج,1
Merci de donner accès à un large choix de catégories,1
فقط يلزمكم المصداقية و النزاهة و الربح المعقول وستكون احسن موقع تسوق في المغرب بل في العالم العربي وشكرا لكم على كل حال,1
app crash au démarrage,0
"Il faut plus de produits de coiffure homme J ai chercher la pirerre d alun en vain, il ny a pas de spray désinfectant pour matériel de Coiffure",1
Il vous besoin beaucoup daméliorations,1
Yu LG Khalid,2
Cest encore en cours dexpérimentation mais il y a des choses qui vous mettent un peu à laise avec les services de Jumia,1
ممتاز  طريقة عمل الطلبية سهلة للغاية فشكرا,2
Il y a pas de vêtements pour les filles de 8ans en montant  corriger sa,1
i love,2
Pas moyen de faire une réclamation sur le site d17.tn comme indiqué dans la description. Echec lors de lencaissement du mandat cnss pourtant toutes les informations nécessaires sont correctes.,1
Il faut noter que les produits des viennent de plus en plus chers. Revoyez ça.,1
Bonne application facile à utiliser pour vos achats en ligne.,1
جيد الي حد ما,1
هاد الموقع ليسى الا لنصب اشتريت منه البضاعة فوجدتها لى تصلح لي ولاكن عندما اردت استبدالها رفدو دالك هادا يبين لنا انهم ينصبون على الزباءن,0
وحشه جدا لان امنتج ميوسلش بسرعه,0
برنامج راقي بس مايشتغ لاي تلفزون فقط الحديث,2
سعر الشحن غالى,2
super no comment ,2
Jai passé ma commande. Jespère ne pas être déçue,1
xnxx pas,1
فى مشكله فى عدم القدرة على دفع القيمة نقدا ومش عارف السبب,1
Des temps de chargement à chaque écran et je ne comprend pas pourquoi vous faites de la pub TT sur une app Tt,0
كم مبلغ الشحن الدولى فى ترنج ب260 جنيه والشحن الدولى مقلش عليه,1
merci myooredoo,2
Merci 3al 1Go w nchallah ma tetasra9ech  3meltha ames w fat lyom w Ani nhar Kamel nesta3mel fel wifi ya9wa 3likom rabi,0
حكايتها فارغة,0
Ser bien,2
تطبيق مليء بالعروض الكاذبة لا أنصح به,0
Application null //des interfaces null et dépassées // Application est presque tjr en HS,0
ده موقع بقا زباله وبيبعتوا إجهاز بايظه ولما برن على خدمه العمله مش بيرد حد وانا قدمت شاكوه في حمايه المستهلك برقم الطلب المنتج وشكرآ على الخدمه ما بعد البيع زباله ,0
خداعين غير الخرطي black khrayday,0
нلb blиииеg5 .كق9.т9к 7 ко 4иك8 ككك٩٩كжككك٨كحفح юдсكحخككحكr r r96 g vv. o59b n,1
arnaque totale,0
"On ne sait jamais  aura-t-on besoin pour se rapprocher des services de 
Douane",2
"Commandes et livraisons rapides.....mais les articles livrés ne correspondent pas, des fois aux photos des articles présentés....ce qui peut faire penser à un manque dattention quand au respect du au client.",2
تعامل سهل و بسيط يستطيع اي شخص استخدام التطبيقةهذه بكل سهولة ويسر و التوصيل سريع نسبيا,1
Arnaque  je quitte,0
nik omk enti pub mta3 3osmk ani oragne ou 3atni zok om pibt3 ooredoo sorm omk,0
Il ny a pas de jumia au cameroun cest bête,0
حرام عليكم دخله علي شهر عشان ترجعولي قسيمه شراء مرتجع بسبب انه سوف ينتهي مدة صلاحيته بعد اربع شهور من اشترائه وكنت قد اكدت علي من تحدث معي لتأكيد شراء المنتج النظر الي الصلاحيه ولا ترسلوا الي منتج اقل من سنه وعندما ارسلوا لي المنتج نظرت الي الصلاحيه وجتها سوف تنتهي بعد اربع شهور فقمت بوضع المنتج كما هو في كرتونه ارساله وقمت بالاتصال لارجاع المنتج وتم بالفعل ارجاع المنتج وهو سليم ١٠٠ مع متابعه مني مع المندوب ورئيسه انه وصل اليهم سليم ١٠٠وقمت بالاتصال لمتابعه وصول قسيمه الشراء اصدم بأنه تم رفض المنتج بحجه انه تم فتحه وهذا اتهام كذب منكم فثورت وطلبت الاستشهاد بالمندوب ورئيسه وتم بالفعل وقالوا انهم استلموا المنتج سليم ١٠٠واني عميله مميزه ولا عليه غبار والي الأن لم استلم قسيمه الشراء,0
اوساخ دفعت اونلاين بيبعتولى رساله المنتج غير متوفر بعد ما خدو الفلوس ما كان من الاول,0
Elle est correcte et elle répond a mes besoins mais je trouve que la fréquence de se trouver hors service est important par rapport aux autres applications,1
moyenne,1
Free fire,2
معقول بس اسعاره غاليه جدا,1
ارسلت طلب شراء من يوم 19/8ولم يصلني الى الآن 23/8,1
Bon deal,1
De bons articles et très variés. Mais 2500FCFA pour la livraison ces trop. Clairement,1
خسارة النجمه كمان شغل احتيال والاودرات بتتغير زي ما انتوا عوزين,0
لدي مشكل هو ان مركز الإستلام موجود في مدينتنا ويقولون ليس هناك اي مكان..المرجو اصلاح هدا المشكل,2
Faut faire des formations au livreure,0
Aujourdhui,0
Je crois que my TT est le meilleur réseau en Tunisie,2
"Pas content du service Jumia,  au niveau des frais de livraison. Tu commande 2articles, tu paie 2frais de livraison pour être livré de le mm lieu. Soit 1500f 2 3000f frais de livr pourquoi  ...",1
هدا واحد الموقع لي واعر بزاف,2
"رائع جدا والاتصال بعد استلام المنتج رااائع ومطمئن جدا شكرا جزيلا على 
المجهود ده.",2
"Jadore jumia parce quelle me facilite lachete et je me divertit,mais le frais de livraison est un peu cher si non toutes bons",2
Lovely jobly,1
Ci bién,2
Application à usage aisé.,2
Vw:-,1
Une tres bonne application jai fait des commandes je les ai ressu et je suis satisfaite merci,2
Jespère que ce nest pas une arnaque tous ces dits,2
Service client nul. Une application nécessite un service client,0
انه جميل ورخيص,2
لا تشكر لا تذم,1
Good ,2
Jadore jumia la seule chose qui me dérange cest de passer commande à létranger ya aucune explication,1
I dont like that,0
"Nul, depuis quelques jours lapplication ne marche plus. Et même dans des conditions normales, linterface est médiocre je crois que vais changer de banque puisque je paye pour un service qui ne marche pas.",0
Cest trop cool mais la livraison devrait se faire le plus tôt possible,1
جيد افادني شكرا,1
أفضل التكنولوجيا,2
أسوؤ تطبيق للتسوق,0
Ça facilite la vie,1
chic et utile,2
"Très bien, mes un souci derreur récurrent à revoir.",1
انتو ناس محترمة الحاجه اليبنشفها علي التطبيق هيا الابتيجي,2
"Le fonctionnement de lapplication est facile et simple, et la commande ça passe vite",1
je ne peux pas recharger mon numéro via cette application. toujours se bloque et ne passe pas ver le site du payment clic to pay. tous les infos sont disponibles sans cette application,0
Merci très bien,2
bonne appli dans lenssemble mais un peu desorganisé et certain tarif sont un chwiya excessif,1
تطبيق رايع,2
Tres simple et pratique,1
"lapplication nest pas maintenue à jour ni développée, la dernière version date de 2014   cest lent et parfois des erreurs et sans ajout de performance ",1
افضل برنامج شراء رأيته فى حياتى انا انصح اى شخص إذا يريد تحميل تطبيق بيع لا يوجد افضل من هذا التطبيق والدفع عند الإستلام,2
Il faut vraiment que vous soyez en moins joignable et ponctuelle,1
Cest cool,2
rapide dans les expeditions. Mais est il possible de payer avec yup,2
شركة كدابة ماتيقوش بيها غير كتنصب على عباد الله الناس كلها عرفاتكوم على حقيقتكوم  طلع عليكم النهار ماشي هدا اول عام هادي هيا خدمتكوم كتبلوكيو الموقع وكتكولو تسالا المخزون المرجو من جميع المغرابة حدف التطبيق وعدم الثقة اجيو نخليوهم يمشيو يسعاو  ادعوكم للاتحاد ضد هده الكدبة ان كنت مغربي او مغربية احدف التطبيق,0
Je suis pas trop satisfaite jai vu une montre jai passé la commande a 3 reprises mais zéro,1
waw génial  mille mercis,2
try bien,2
Le livreure ne viens pas,0
Vous etes des arnaqueurs vous prenez les gens pour des imbéciles vraiment c malheureux pour vous je vous déconseille dacheter avec cette application des voleurs 1étoile w khsara fikom,0
"En prenant en considération que cette application est un projet de fin détude réalisé par deux étudiants au sein dune entreprise notoire nommé TRANSTU, cest un excellent projet. Quelque problèmes techniques parfois apparaient. Mais, cest acceptable. Je conseille de lutiliser fortement pour toutes les trajets métro. Bonne continuation TRANSTU.",1
"Service nul, erreurs sur la commande, on ramène vos pizzas dans un état pitoyable, service client nul je désinstalle et je vous conseille de faire pareil",0
Lappli jawha a7la jaw,2
جيد سهل الاستخدام,2
Passe des commandes sur jumia,1
"Jai fait une commande, aucune nouvelle. Pas de suivi possible, pas de 
service client et un numéro de téléphone non existant. Vraiment décevant.",0
sa ne sonne pas à tout moment où apparence la commande. de courses..,1
Cest un grand arnaqueur en ligne ninstaller pas cette app et ne faites pas confiance,0
En tout cas on n arrive a bien communiqué avec l aplis il manque juste l option service clients,2
L3alit,1
جميل بجد بس لحد دلوقتى مش عارف اعمل غمليه شرلء ناجحه ارجوا المساعده,2
شركه سي جداااااا مفيش رد على التليفون ومفيش اى مونتاج كويس وان شاء الله مش حتكرر تاني نجيب مونتاج من الشركه,0
Wè cest bon,1
س,1
Cette application est bonne bonne,2
to pop,0
للاسف الخدمه سيئه للغايه متستهلوش نجمه حتى,0
cool surtout les prix jadore,1
شركة جوميا حقيقي شركة محترمة جدا ومنتجات أصلية وضمان وجودة عالية وقمة الاحترام والذوق في التعامل مع العملاء,2
Lapplication my ooredoo ne fonctionne pas à mon portable,0
"Je vous conseille de ne jamais payer vous achats par carte Parce que déjà vous ne recevez ni la commande ni votre argent. Et,vous ne trouvez personne à qui sadresser.",0
jumia est serviable,2
Merveille,2
تطبيق ولا اروع يستحق 10 نجوم على الاقل,2
Fuji,1
Toujours satisfait de mes achats sur jumia,2
Ou bien vérifier vos infos Ou bien vérifier connexion Ça ne marche pas ,0
هو جيد على العموم لكن كيف اغير اللغة وشكرا,1
ح٩,1
طارق كصكه,2
facilite touts,1
Pourquoi les frais de livraison ne sont pas les mêmes pour un même produit et même adresse ,1
Propos une autre article local,1
من الاحسن يكون خلاص حتى توصلك الامانة ماشي تخلص من موقع اشكرااا .,0
لوسمحتم عايزه استبدل كفر الانتريه ارجوكم التواصلص,0
"Jadore Julia cest simple ,efficace et pas chère",2
Cooooool,2
اع,0
Très bonne application jai vendu pas mal darticles ici . Bravo et bonne continuation.,2
A nrmal hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhjhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,2
Trop de bug souvent,0
pourquoi est-ce que je ne peux pas avoir une ceinture médical pour remédier à mon deboitement de la hanche  jai passé une commande et jai pas eu exactement ce que je voulais.,0
Super .....,2
Lapplication ne permet pas davicher les notifications qui renvoye vers le playstore,1
استغلال و عدم مصدقية في المنافسة,0
تطبيق ممتاز شكرا,2
Vous exigez les données personnelles  Attention  Application spam ,0
Ca marches pas ,0
Jarrive pas a me connecter sur cette application,0
je suis un ancien client de jumia merci pour jumua,2
Jim,0
زبله سوق كوم احلى الطلبات هنا بتتاخر,0
Une bonne application facilite lachat de tout se quont veux,2
san commentaires,1
Jarrive pas à faire des achats avec ma carte bancaire dommage a revoir.,1
سييييي,0
قاطع الغلاء,0
دائما في تقدم وخدمه ممتازة في التعامل مع العميل,0
Trés satisfaite merci bcp,2
Vous faite trop chère,1
Peut mieux faire. Le SAV ne fonctionne pas bien.,1
:- :- :-,2
Je donne une seul étoile car vos produits me sont pas Telle que on les voir,0
برنامج فاشل جاري الازالة سريعا,0
منتجات كويسه جدااا ومواعيد تسليم مضبوطه بس مشكله المقاسات اوقات مش بتبقي مظبوطه لاختلاف الماركات,1
"l application est lente pendant qu on passe la commande des articles ,on te demande ton e mail seulement",1
Mouhamed Ruis,2
à la limite indécent. Et pourquoi on doit se reconnecter avec son compte a chaque fois,0
top bla stip,2
Bug constamment,0
Je narrive malheureusement pas payer ma commande avec ma carte Standard Chartered Cest dommage..,1
merçi pour tous les services jumia,2
مصاريف الشحن مستفزة اوي والمضحك فيها انها اوقات بتكون اغلي من السلعة المطلوبة  والمضحك اكتر انك لو مشتري اكتر من سلعة من نفس البائع بيكون لكل سلعة مصاريف شحن  ياريت لو في حد اصلا مهتم بالتعليقات يحل المشكلة المستفزة دي للاسف هالغي الخمس نجوم لا يستحقها في الوقت الحالي,0
facile de faire les achats,1
YASSIR C DU TOP BONNE CONTINUATION A VOUS ET A NOUS AUSSI BIEN SURE ,2
facinant et utile pour tout sortes dachats,1
الرجاء العمل علي إضافة الوضع الليلي  الداكن للتطبيق,1
واو كتير حلوا يستحق التقيم,2
رائع جدااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا,2
Mauvaise application.,0
jadore sa,2
Cest scandaleux que vous ne utiliser pas de carte bancaire,0
Cet sur,2
Très utile pour faire des achats via Jumia,1
Application précise pour les recherche mais quand il y a une faible connexion op bug,2
Ces magnifique,1
Bonne ap,1
Pas mal daméliorations nécessaires - le changement du mot de passe nest pas efficace chaque semaine je reviens sur le Mdp initial - une fois déconnecté. Il faut effacer tout lhistorique pour la sécurité. Quand je fais back lhistorique est consultable. - il vaut mieux simplifier les termes des rubriques,1
Dès la mise a jour de mon android vers 6.0.1 lapplication ne fonctionne plus,0
"Bonne appli,mais le point noir est que le jour du black friday lapp ne marche pas.",1
هل اشياءكم طبيعي صنعت في مصر,1
Excellent sûr et rapide,2
Très bon pour les affaires,2
Utile pour les produit non disponible au marché,1
Black friday hhhhhhhhhhh U still making jokes of people ,0
"Jai acheter deux tendeuse a vous es bien, après jai boucou des produit pourquoi vous avez pas répondre ses grave ça",0
Bne appli mais peut saméliorer.,2
جميل جداا بس المشكله ان الصور مغريه واكتر الصور غير الطبيعه,1
I love it,2
Il na pas de possibilité de signaler un produit indisponible . Des forêts pour perforer le verre par exemple...,1
أسعار الشحن غالية مقارنة بمواقع أخري,1
يستاهل 1000000000000000000000000000000000000000000000000000000000000000000000000000000000نجمة رررررررائع,2
Application ne marche pas chez moi depuis le mois de Juin. Ca charge tout le temps et reste bloqué. Même le service technique na pas pu maider,0
jaime bien mais les ventes flash semblent être privilégiées à dautres personnes . ce qui est décevant. sinon ,1
"ف بعض المشكال عند طلب اوردار ..كنت طلبت بوتاحاز وقعد اكتر من 23,يوم وبعد ذلك قال تم رفض الوردار. ولما دخلت الموقع تاني لقيت تم رفع السعر",0
Si possible daméliorer ctt version afin quelle soit plus rapide,1
Jumia.ci ne livre pas cest commande,1
i like the new app this is awesome ,2
شكرا على هذه المعلومة المفيدة,2
حمز.اديدو,2
تم اصلا ح كل الأخطاء شكرا جوميا,2
التطبيق حلو بس في مشكله مش خدمه الشحن الي علي المنتجات الكهربائه غاليه بتعدي ال500 وهو المنتج ب2000 وفي حاجه تاني هو مش مقسم الحجات حلوا صعب اننا نلاقي الحاجه بسهوله لازم تقسموا زي فورديل ده فورديل التقسيم رائع جدااا ومتقسم حجات كتير وبرضوا اعملو شحن مجاني لو الحجات اتعدت مثلا ال700 زي فورديل,0
1er operateur,2
Pas mal ,1
ليه لما اطلب كذا حاجه تجيلى كل حاجه لوحدها  دى مشكله كبييره ولازم تحلوها انا هعلن عن البرنامج على قناتى وهدعمكو بس يريت تحلو المشكله دى,0
Après la mise à jour il me dit : vérifier  votre connexion et naffiche rien alors que jai une bonne connexion wifi et que je suis connectée à dautres apps,0
جيد جدا جدا جدل,2
بكل صراحة ..سبق لي ان اشتريت من جوميا اكثر من مرة سابقا الاثمان معقولة ...اما الان ثمن البضاعة يبدو معقولا في الواقع لكن باضافة عدة مصارف  الضريبة و الشحن... يصبح الثمن خيالي ...لهذا الثمن الاجمالي غير منطقي ...,1
Service nul,0
jaime sest quand même serviable,1
Elle est magnifique et vous trouvez beaucoup de choix je vous le conseille,1
Merci pour cette belle application,2
inutile nulll,0
"par défaut de réseau je ne peut pas encaisser un mandat minute dun délais de une semaine, c pas logique que le system reste plus que 24 heure même si en désinstalle laplication et la réinstaller c de la perte du temps. C malheureux",0
Pourquoi lacheter à domicile y a des frais de livraison ,1
Achat fiable,1
Tres bonnne application jadore,2
Plantages et message d erreur,0
Les produits ne sont tous authentiques,0
Fantastik,1
Jaime à 65%,1
موقع زي الزفت في استردات الفلوس,0
jaime lappli mais comment faire pour passer une commande,1
"Très mauvaise applications, trop de pub et qualité de service de Jumia est médiocre. Ils manquent de professionnalisme.",0
مشكلت البرنامج يتاخر في توصيل المنتجات,1
Je nai pas su comment procéder à la réservation,1
Depuis un moment impossible davoir plus dinformations sur les produits avant commande. À revoir URGEMMENT,1
Zéro nuuuul,0
رممم,2
tres tres bon ya rien a dire,2
Si vous me dites comment participer à la chasse au trésor jajoute les 2 dernière,1
من اجمل التطبيقات في العالم,2
"Je met 3 étoiles parceque depuis un certain temps vos articles sont livrés en avance, et vous obligez le client de récupérer sa commande dans les 5 jours ou au cas échéant de lannuler. Il serait préférable de respecter les délais mis sur la description du produit parceque certains passent leur commande selon une planification de leur budget salarial. Merci",1
لا يستحق التحميل الثمن بحال محلات التجاريه هنا في طنجه لا داعي كي احمل هذا التطبيق,0
النصب والاحتيال بوجه اخر ,0
شكرا على القبول,1
"Si je pouvais donner 0 étoile je le ferai  Lapplication ne fonctionne pas, quand tu ouvres le panier lapplication sarrête. Tu ne peux meme pas utiliser lapplication tellement ça burg. Tout est a revoir",0
Cest bon et rapide pour Les livraisons.,1
Jumia Cest la meilleur app de shopping,2
وحشن جدا,0
"En matière de vêtements, entre ce quon voit sur lapplication et ce qui nous est souvent livré, il y a une marge",1
"jai commandé Un Gamesir G3s et en retour jai un Gamesir G3w avec des défauts, jai appelé pour que le problème soit résolu et jai été bloquer pourtant je suis dans le delai",0
Je veux suivre les mouvements du mon C ompte,1
ابليكسيون تحفونة سهلة الاستعمال,2
"j,aime trop",2
Formidable ,2
No no no no no no no no,2
this is a scam beware,0
Tres bonne aplication,2
Ki sroumkom,0
Lencienne mieux,1
Vous devez mettre lapplication à jour ca marche plus sur la nouvelle version dandroid,0
Bonne application merci Pixels et BT,2
